age;sex;gender;marital_status;citizenship;ethnicity;educational_attainment;employment_status;industry;hours;earnings;disability_status;life_satisfaction
40 to 44 years;Female;Woman;Divorced;Native;White;Some college, no degree;Private not-for-profit wage and salary workers;Educational services, and health care and social assistance;15 to 34 hours per week;$25,000 to $34,999;With a disability;4
40 to 44 years;Female;Woman;Divorced;Native;White;Some college, no degree;Private not-for-profit wage and salary workers;Educational services, and health care and social assistance;15 to 34 hours per week;$25,000 to $34,999;With a disability;6
40 to 44 years;Female;Woman;Divorced;Native;White;Some college, no degree;Self-employed in own not incorporated business workers and unpaid family workers;Professional, scientific, and management, and administrative and waste management services;15 to 34 hours per week;$15,000 to $24,999;With a disability;4
40 to 44 years;Female;Woman;Divorced;Native;White;Some college, no degree;Self-employed in own not incorporated business workers and unpaid family workers;Professional, scientific, and management, and administrative and waste management services;15 to 34 hours per week;$15,000 to $24,999;With a disability;4
40 to 44 years;Female;Woman;Divorced;Native;White;Some college, no degree;Private not-for-profit wage and salary workers;Educational services, and health care and social assistance;15 to 34 hours per week;$25,000 to $34,999;With a disability;6
40 to 44 years;Female;Woman;Divorced;Native;White;Some college, no degree;Self-employed in own not incorporated business workers and unpaid family workers;Professional, scientific, and management, and administrative and waste management services;15 to 34 hours per week;$15,000 to $24,999;With a disability;4
40 to 44 years;Female;Woman;Divorced;Native;White;Some college, no degree;Private not-for-profit wage and salary workers;Educational services, and health care and social assistance;15 to 34 hours per week;$25,000 to $34,999;With a disability;5
40 to 44 years;Female;Woman;Divorced;Native;White;Some college, no degree;Under 16 years and/or unemployed;Educational services, and health care and social assistance;1 to 14 hours per week;$1 to $9,999 or loss;With a disability;4
40 to 44 years;Female;Woman;Divorced;Native;White;Some college, no degree;Self-employed in own not incorporated business workers and unpaid family workers;Professional, scientific, and management, and administrative and waste management services;15 to 34 hours per week;$15,000 to $24,999;With a disability;4
40 to 44 years;Female;Woman;Divorced;Native;White;Some college, no degree;Private not-for-profit wage and salary workers;Educational services, and health care and social assistance;15 to 34 hours per week;$25,000 to $34,999;With a disability;6
40 to 44 years;Female;Woman;Divorced;Native;White;Some college, no degree;Under 16 years and/or unemployed;Educational services, and health care and social assistance;Didn't work;$1 to $9,999 or loss;With a disability;3
40 to 44 years;Female;Woman;Divorced;Native;White;Some college, no degree;Private not-for-profit wage and salary workers;Educational services, and health care and social assistance;15 to 34 hours per week;$25,000 to $34,999;With a disability;4
40 to 44 years;Female;Woman;Divorced;Native;White;Some college, no degree;Private not-for-profit wage and salary workers;Educational services, and health care and social assistance;15 to 34 hours per week;$35,000 to $49,999;With a disability;6
40 to 44 years;Female;Woman;Divorced;Native;White;Some college, no degree;Private not-for-profit wage and salary workers;Educational services, and health care and social assistance;15 to 34 hours per week;$25,000 to $34,999;With a disability;4
40 to 44 years;Female;Woman;Divorced;Native;White;Some college, no degree;Private not-for-profit wage and salary workers;Educational services, and health care and social assistance;15 to 34 hours per week;$25,000 to $34,999;With a disability;6
40 to 44 years;Female;Woman;Divorced;Native;White;Some college, no degree;Self-employed in own not incorporated business workers and unpaid family workers;Professional, scientific, and management, and administrative and waste management services;15 to 34 hours per week;$15,000 to $24,999;With a disability;4
40 to 44 years;Female;Woman;Divorced;Native;White;Some college, no degree;Private not-for-profit wage and salary workers;Educational services, and health care and social assistance;15 to 34 hours per week;$25,000 to $34,999;With a disability;4
40 to 44 years;Female;Woman;Divorced;Native;White;Some college, no degree;Private not-for-profit wage and salary workers;Educational services, and health care and social assistance;15 to 34 hours per week;$25,000 to $34,999;With a disability;4
40 to 44 years;Female;Woman;Divorced;Native;White;Some college, no degree;Private not-for-profit wage and salary workers;Educational services, and health care and social assistance;15 to 34 hours per week;$25,000 to $34,999;With a disability;4
40 to 44 years;Female;Woman;Divorced;Native;White;Some college, no degree;Under 16 years and/or unemployed;Educational services, and health care and social assistance;Didn't work;$1 to $9,999 or loss;With a disability;4
40 to 44 years;Female;Woman;Divorced;Native;White;Some college, no degree;Self-employed in own not incorporated business workers and unpaid family workers;Educational services, and health care and social assistance;15 to 34 hours per week;$15,000 to $24,999;With a disability;4
40 to 44 years;Female;Woman;Divorced;Native;White;Some college, no degree;Private not-for-profit wage and salary workers;Educational services, and health care and social assistance;15 to 34 hours per week;$25,000 to $34,999;With a disability;4
40 to 44 years;Female;Woman;Divorced;Native;White;Some college, no degree;Private not-for-profit wage and salary workers;Educational services, and health care and social assistance;15 to 34 hours per week;$25,000 to $34,999;With a disability;4
40 to 44 years;Female;Woman;Divorced;Native;White;Some college, no degree;Under 16 years and/or unemployed;Educational services, and health care and social assistance;1 to 14 hours per week;$1 to $9,999 or loss;With a disability;4
40 to 44 years;Female;Woman;Divorced;Native;White;Some college, no degree;Under 16 years and/or unemployed;Educational services, and health care and social assistance;1 to 14 hours per week;$1 to $9,999 or loss;With a disability;4
40 to 44 years;Female;Woman;Divorced;Native;White;Some college, no degree;Under 16 years and/or unemployed;Educational services, and health care and social assistance;Didn't work;$1 to $9,999 or loss;With a disability;4
40 to 44 years;Female;Woman;Divorced;Native;White;Some college, no degree;Self-employed in own not incorporated business workers and unpaid family workers;Professional, scientific, and management, and administrative and waste management services;15 to 34 hours per week;$25,000 to $34,999;With a disability;4
40 to 44 years;Female;Woman;Divorced;Native;White;Some college, no degree;Self-employed in own not incorporated business workers and unpaid family workers;Professional, scientific, and management, and administrative and waste management services;15 to 34 hours per week;$15,000 to $24,999;With a disability;4
40 to 44 years;Female;Woman;Divorced;Native;White;Some college, no degree;Under 16 years and/or unemployed;Educational services, and health care and social assistance;Didn't work;$1 to $9,999 or loss;With a disability;4
40 to 44 years;Female;Woman;Divorced;Native;White;Some college, no degree;Self-employed in own not incorporated business workers and unpaid family workers;Professional, scientific, and management, and administrative and waste management services;15 to 34 hours per week;$15,000 to $24,999;With a disability;4
40 to 44 years;Female;Woman;Divorced;Native;White;Some college, no degree;Self-employed in own not incorporated business workers and unpaid family workers;Educational services, and health care and social assistance;15 to 34 hours per week;$15,000 to $24,999;With a disability;4
40 to 44 years;Female;Woman;Divorced;Native;White;Some college, no degree;Self-employed in own not incorporated business workers and unpaid family workers;Professional, scientific, and management, and administrative and waste management services;15 to 34 hours per week;$25,000 to $34,999;With a disability;4
40 to 44 years;Female;Woman;Divorced;Native;White;Some college, no degree;Under 16 years and/or unemployed;Educational services, and health care and social assistance;1 to 14 hours per week;$1 to $9,999 or loss;With a disability;4
40 to 44 years;Female;Woman;Divorced;Native;White;Some college, no degree;Under 16 years and/or unemployed;Educational services, and health care and social assistance;Didn't work;$1 to $9,999 or loss;With a disability;4
40 to 44 years;Female;Woman;Divorced;Native;White;Some college, no degree;Under 16 years and/or unemployed;Educational services, and health care and social assistance;Didn't work;$1 to $9,999 or loss;With a disability;4
40 to 44 years;Female;Woman;Divorced;Native;White;Some college, no degree;Under 16 years and/or unemployed;Educational services, and health care and social assistance;15 to 34 hours per week;$15,000 to $24,999;With a disability;4
40 to 44 years;Female;Woman;Divorced;Native;White;Some college, no degree;Private not-for-profit wage and salary workers;Educational services, and health care and social assistance;15 to 34 hours per week;$25,000 to $34,999;With a disability;5
40 to 44 years;Female;Woman;Divorced;Native;White;Some college, no degree;Self-employed in own not incorporated business workers and unpaid family workers;Educational services, and health care and social assistance;15 to 34 hours per week;$15,000 to $24,999;With a disability;4
40 to 44 years;Female;Woman;Divorced;Native;White;Some college, no degree;Self-employed in own not incorporated business workers and unpaid family workers;Professional, scientific, and management, and administrative and waste management services;15 to 34 hours per week;$15,000 to $24,999;With a disability;4
40 to 44 years;Female;Woman;Divorced;Native;White;Some college, no degree;Under 16 years and/or unemployed;Educational services, and health care and social assistance;1 to 14 hours per week;$1 to $9,999 or loss;With a disability;3
40 to 44 years;Female;Woman;Divorced;Native;White;Some college, no degree;Private not-for-profit wage and salary workers;Educational services, and health care and social assistance;15 to 34 hours per week;$25,000 to $34,999;With a disability;6
40 to 44 years;Female;Woman;Divorced;Native;White;Some college, no degree;Private not-for-profit wage and salary workers;Educational services, and health care and social assistance;15 to 34 hours per week;$25,000 to $34,999;With a disability;6
40 to 44 years;Female;Woman;Divorced;Native;White;Some college, no degree;Private not-for-profit wage and salary workers;Educational services, and health care and social assistance;15 to 34 hours per week;$25,000 to $34,999;With a disability;4
40 to 44 years;Female;Woman;Divorced;Native;White;Some college, no degree;Under 16 years and/or unemployed;Educational services, and health care and social assistance;15 to 34 hours per week;$10,000 to $14,999;With a disability;4
40 to 44 years;Female;Woman;Divorced;Native;White;Some college, no degree;Private not-for-profit wage and salary workers;Educational services, and health care and social assistance;15 to 34 hours per week;$25,000 to $34,999;With a disability;5
40 to 44 years;Female;Woman;Divorced;Native;White;Some college, no degree;Self-employed in own not incorporated business workers and unpaid family workers;Professional, scientific, and management, and administrative and waste management services;15 to 34 hours per week;$15,000 to $24,999;With a disability;4
40 to 44 years;Female;Woman;Divorced;Native;White;Some college, no degree;Under 16 years and/or unemployed;Educational services, and health care and social assistance;Didn't work;$1 to $9,999 or loss;With a disability;4
40 to 44 years;Female;Woman;Divorced;Native;White;Some college, no degree;Under 16 years and/or unemployed;Educational services, and health care and social assistance;1 to 14 hours per week;$1 to $9,999 or loss;With a disability;4
40 to 44 years;Female;Woman;Divorced;Native;White;Some college, no degree;Under 16 years and/or unemployed;Educational services, and health care and social assistance;Didn't work;$1 to $9,999 or loss;With a disability;4
40 to 44 years;Female;Woman;Divorced;Native;White;Some college, no degree;Self-employed in own not incorporated business workers and unpaid family workers;Professional, scientific, and management, and administrative and waste management services;15 to 34 hours per week;$25,000 to $34,999;With a disability;4
40 to 44 years;Female;Woman;Divorced;Native;White;Some college, no degree;Private not-for-profit wage and salary workers;Educational services, and health care and social assistance;15 to 34 hours per week;$25,000 to $34,999;With a disability;5
40 to 44 years;Female;Woman;Divorced;Native;White;Some college, no degree;Under 16 years and/or unemployed;Educational services, and health care and social assistance;15 to 34 hours per week;$15,000 to $24,999;With a disability;5
40 to 44 years;Female;Woman;Divorced;Native;White;Some college, no degree;Private not-for-profit wage and salary workers;Educational services, and health care and social assistance;15 to 34 hours per week;$35,000 to $49,999;With a disability;6
40 to 44 years;Female;Woman;Divorced;Native;White;Some college, no degree;Self-employed in own not incorporated business workers and unpaid family workers;Professional, scientific, and management, and administrative and waste management services;15 to 34 hours per week;$15,000 to $24,999;With a disability;4
40 to 44 years;Female;Woman;Divorced;Native;White;Some college, no degree;Under 16 years and/or unemployed;Educational services, and health care and social assistance;Didn't work;$1 to $9,999 or loss;With a disability;4
40 to 44 years;Female;Woman;Divorced;Native;White;Some college, no degree;Under 16 years and/or unemployed;Educational services, and health care and social assistance;15 to 34 hours per week;$1 to $9,999 or loss;With a disability;4
